,,,,latency (ns),latency (ms),latency (s),,Max (ms),Mean (ms),Min (ms)
1,0,2.01524E+12,2.01524E+12,1120752,1120.752,1.120752,,1120.752,169.352,80.507
2,0,2.01525E+12,2.01525E+12,125930,125.93,0.12593,,,,
3,0,2.01526E+12,2.01526E+12,232219,232.219,0.232219,,,,
4,0,2.01527E+12,2.01527E+12,140049,140.049,0.140049,,,,
5,0,2.01529E+12,2.01529E+12,170107,170.107,0.170107,,,,
6,0,2.0153E+12,2.0153E+12,189634,189.634,0.189634,,,,
7,0,2.01531E+12,2.01531E+12,179563,179.563,0.179563,,,,
8,0,2.01532E+12,2.01532E+12,229124,229.124,0.229124,,,,
9,0,2.01533E+12,2.01533E+12,227466,227.466,0.227466,,,,
10,0,2.01534E+12,2.01534E+12,183006,183.006,0.183006,,,,
1,1,2.01535E+12,2.01535E+12,183228,183.228,0.183228,,,,
2,1,2.01536E+12,2.01536E+12,186579,186.579,0.186579,,,,
3,1,2.01537E+12,2.01537E+12,212275,212.275,0.212275,,,,
4,1,2.01538E+12,2.01538E+12,195008,195.008,0.195008,,,,
5,1,2.01539E+12,2.01539E+12,228080,228.08,0.22808,,,,
6,1,2.0154E+12,2.0154E+12,172812,172.812,0.172812,,,,
7,1,2.01542E+12,2.01542E+12,156362,156.362,0.156362,,,,
8,1,2.01543E+12,2.01543E+12,199547,199.547,0.199547,,,,
9,1,2.01544E+12,2.01544E+12,209147,209.147,0.209147,,,,
10,1,2.01545E+12,2.01545E+12,162389,162.389,0.162389,,,,
1,2,2.01546E+12,2.01546E+12,187931,187.931,0.187931,,,,
2,2,2.01547E+12,2.01547E+12,183251,183.251,0.183251,,,,
3,2,2.01548E+12,2.01548E+12,191547,191.547,0.191547,,,,
4,2,2.01549E+12,2.01549E+12,171360,171.36,0.17136,,,,
5,2,2.0155E+12,2.0155E+12,150933,150.933,0.150933,,,,
6,2,2.01551E+12,2.01551E+12,174190,174.19,0.17419,,,,
7,2,2.01552E+12,2.01552E+12,205707,205.707,0.205707,,,,
8,2,2.01553E+12,2.01553E+12,161599,161.599,0.161599,,,,
9,2,2.01554E+12,2.01554E+12,175640,175.64,0.17564,,,,
10,2,2.01556E+12,2.01556E+12,194814,194.814,0.194814,,,,
1,3,2.01557E+12,2.01557E+12,218275,218.275,0.218275,,,,
2,3,2.01558E+12,2.01558E+12,228157,228.157,0.228157,,,,
3,3,2.01559E+12,2.01559E+12,180211,180.211,0.180211,,,,
4,3,2.0156E+12,2.0156E+12,231023,231.023,0.231023,,,,
5,3,2.01561E+12,2.01561E+12,207041,207.041,0.207041,,,,
6,3,2.01562E+12,2.01562E+12,174427,174.427,0.174427,,,,
